Soft17Hit: false	Surrender: false	DoubleAfterSplit: false	
Win: 1.000000	Tie: 0.000000	Lose: -1.000000	BlackJack: 1.500000	
A: 4	2: 4	3: 4	4: 4	5: 4	6: 4	7: 4	8: 4	9: 4	T: 16	
Dealer: T	Player1st: 3 	Player2nd: 6	Stand: -0.58702	Hit: -0.205978	Double: -0.470037	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.205978	Time: 1.187
Dealer: T	Player1st: 3 	Player2nd: 5	Stand: -0.583076	Hit: -0.307241	Double: -0.679481	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.307241	Time: 1.858
Dealer: T	Player1st: 3 	Player2nd: 4	Stand: -0.584018	Hit: -0.383637	Double: -0.844593	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.383637	Time: 3.324
Dealer: T	Player1st: 3 	Player2nd: 3	Stand: -0.58276	Hit: -0.388474	Double: -0.895172	Split: -0.607401	WhattoDo: Hit   	ExpectedValue: -0.388474	Time: 237.996
Dealer: T	Player1st: 2 	Player2nd: T	Stand: -0.577157	Hit: -0.391273	Double: -0.828438	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.391273	Time: 0.207
Dealer: T	Player1st: 2 	Player2nd: 9	Stand: -0.574606	Hit: 0.0413833	Double: 0.0188761	Split: undefined	WhattoDo: Hit   	ExpectedValue: 0.0413833	Time: 0.375
Dealer: T	Player1st: 2 	Player2nd: 8	Stand: -0.570988	Hit: -0.045252	Double: -0.147597	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.045252	Time: 0.418
Dealer: T	Player1st: 2 	Player2nd: 7	Stand: -0.567174	Hit: -0.21907	Double: -0.489532	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.21907	Time: 1.05
Dealer: T	Player1st: 2 	Player2nd: 6	Stand: -0.587671	Hit: -0.305573	Double: -0.681635	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.305573	Time: 1.671
Dealer: T	Player1st: 2 	Player2nd: 5	Stand: -0.583772	Hit: -0.371362	Double: -0.812906	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.371362	Time: 2.848
Dealer: T	Player1st: 2 	Player2nd: 4	Stand: -0.583592	Hit: -0.391084	Double: -0.89806	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.391084	Time: 4.893
Dealer: T	Player1st: 2 	Player2nd: 3	Stand: -0.583405	Hit: -0.355426	Double: -0.876783	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.355426	Time: 7.78
Dealer: T	Player1st: 2 	Player2nd: 2	Stand: -0.584105	Hit: -0.325149	Double: -0.853342	Split: -0.565122	WhattoDo: Hit   	ExpectedValue: -0.325149	Time: 250.06
Dealer: T	Player1st: A 	Player2nd: T	Stand: 1.40816	Hit: undefined	Douoble: undefined	Split: undefined	WhattoDo: Stand 	ExpectedValue: 1.40816	Time: 0.001
Dealer: T	Player1st: A 	Player2nd: 9	Stand: 0.459374	Hit: -0.0483289	Double: -0.1662	Split: undefined	WhattoDo: Stand 	ExpectedValue: 0.459374	Time: 0.367
Dealer: T	Player1st: A 	Player2nd: 8	Stand: -0.000848924	Hit: -0.134722	Double: -0.322881	Split: undefined	WhattoDo: Stand 	ExpectedValue: -0.000848924	Time: 0.622
Dealer: T	Player1st: A 	Player2nd: 7	Stand: -0.236013	Hit: -0.184584	Double: -0.413912	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.184584	Time: 1.061
Dealer: T	Player1st: A 	Player2nd: 6	Stand: -0.453428	Hit: -0.230704	Double: -0.518551	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.230704	Time: 1.903
Dealer: T	Player1st: A 	Player2nd: 5	Stand: -0.565639	Hit: -0.264306	Double: -0.618631	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.264306	Time: 3.32
Dealer: T	Player1st: A 	Player2nd: 4	Stand: -0.566581	Hit: -0.21181	Double: -0.578125	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.21181	Time: 5.756
Dealer: T	Player1st: A 	Player2nd: 3	Stand: -0.566326	Hit: -0.167101	Double: -0.562533	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.167101	Time: 9.408
Dealer: T	Player1st: A 	Player2nd: 2	Stand: -0.566947	Hit: -0.134284	Double: -0.561916	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.134284	Time: 13.445
Dealer: T	Player1st: A 	Player2nd: A	Stand: -0.54983	Hit: -0.0785899	Double: -0.524034	Split: 0.776278	WhattoDo: Split 	ExpectedValue: 0.776278	Time: 244.315
Dealer: 9	Player1st: T 	Player2nd: T	Stand: 0.74397	Hit: -0.842055	Double: -1.68411	Split: 0.276073	WhattoDo: Stand 	ExpectedValue: 0.74397	Time: 8.995
Dealer: 9	Player1st: 9 	Player2nd: T	Stand: 0.264279	Hit: -0.697795	Double: -1.39559	Split: undefined	WhattoDo: Stand 	ExpectedValue: 0.264279	Time: 0.009
Dealer: 9	Player1st: 9 	Player2nd: 9	Stand: -0.196372	Hit: -0.594732	Double: -1.18946	Split: -0.11211	WhattoDo: Split 	ExpectedValue: -0.11211	Time: 22.26
Dealer: 9	Player1st: 8 	Player2nd: T	Stand: -0.196136	Hit: -0.593227	Double: -1.18645	Split: undefined	WhattoDo: Stand 	ExpectedValue: -0.196136	Time: 0.013
Dealer: 9	Player1st: 8 	Player2nd: 9	Stand: -0.411646	Hit: -0.531882	Double: -1.06376	Split: undefined	WhattoDo: Stand 	ExpectedValue: -0.411646	Time: 0.022
Dealer: 9	Player1st: 8 	Player2nd: 8	Stand: -0.516426	Hit: -0.487124	Double: -0.974248	Split: -0.42918	WhattoDo: Split 	ExpectedValue: -0.42918	Time: 35.784
Dealer: 9	Player1st: 7 	Player2nd: T	Stand: -0.416111	Hit: -0.526459	Double: -1.05292	Split: undefined	WhattoDo: Stand 	ExpectedValue: -0.416111	Time: 0.023
Dealer: 9	Player1st: 7 	Player2nd: 9	Stand: -0.539836	Hit: -0.482037	Double: -0.964075	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.482037	Time: 0.039
Dealer: 9	Player1st: 7 	Player2nd: 8	Stand: -0.535909	Hit: -0.443182	Double: -0.893558	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.443182	Time: 0.07
Dealer: 9	Player1st: 7 	Player2nd: 7	Stand: -0.555391	Hit: -0.474654	Double: -0.978238	Split: -0.563838	WhattoDo: Hit   	ExpectedValue: -0.474654	Time: 63.091
Dealer: 9	Player1st: 6 	Player2nd: T	Stand: -0.539232	Hit: -0.479306	Double: -0.958613	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.479306	Time: 0.039
Dealer: 9	Player1st: 6 	Player2nd: 9	Stand: -0.535541	Hit: -0.479661	Double: -0.966804	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.479661	Time: 0.07
Dealer: 9	Player1st: 6 	Player2nd: 8	Stand: -0.531614	Hit: -0.437187	Double: -0.887881	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.437187	Time: 0.127
Dealer: 9	Player1st: 6 	Player2nd: 7	Stand: -0.551096	Hit: -0.418484	Double: -0.86939	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.418484	Time: 0.233
Dealer: 9	Player1st: 6 	Player2nd: 6	Stand: -0.548502	Hit: -0.386242	Double: -0.817364	Split: -0.569175	WhattoDo: Hit   	ExpectedValue: -0.386242	Time: 110.168
Dealer: 9	Player1st: 5 	Player2nd: T	Stand: -0.535093	Hit: -0.475256	Double: -0.951924	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.475256	Time: 0.071
Dealer: 9	Player1st: 5 	Player2nd: 9	Stand: -0.531402	Hit: -0.425858	Double: -0.859833	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.425858	Time: 0.128
Dealer: 9	Player1st: 5 	Player2nd: 8	Stand: -0.527475	Hit: -0.412582	Double: -0.847602	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.412582	Time: 0.234
Dealer: 9	Player1st: 5 	Player2nd: 7	Stand: -0.548658	Hit: -0.389559	Double: -0.826051	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.389559	Time: 0.427
Dealer: 9	Player1st: 5 	Player2nd: 6	Stand: -0.544508	Hit: 0.15196	Double: 0.239911	Split: undefined	WhattoDo: Double	ExpectedValue: 0.239911	Time: 0.784
Dealer: 9	Player1st: 5 	Player2nd: 5	Stand: -0.540668	Hit: 0.120345	Double: 0.174553	Split: -0.600792	WhattoDo: Double	ExpectedValue: 0.174553	Time: 186.547
Dealer: 9	Player1st: 4 	Player2nd: T	Stand: -0.535908	Hit: -0.41352	Double: -0.839394	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.41352	Time: 0.129
Dealer: 9	Player1st: 4 	Player2nd: 9	Stand: -0.532217	Hit: -0.365184	Double: -0.758677	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.365184	Time: 0.234
Dealer: 9	Player1st: 4 	Player2nd: 8	Stand: -0.52914	Hit: -0.393813	Double: -0.833734	Split: undefined	WhattoDo: Hit   	ExpectedValue: -0.393813	Time: 0.428
Dealer: 9	Player1st: 4 	Player2nd: 7	Stand: -0.549545	Hit: 0.149505	Double: 0.224729	Split: undefined	WhattoDo: Double	ExpectedValue: 0.224729	Time: 0.785
Dealer: 9	Player1st: 4 	Player2nd: 6	Stand: -0.545472	Hit: 0.117492	Double: 0.164633	Split: undefined	WhattoDo: Double	ExpectedValue: 0.164633	Time: 0.864
