A	A,A	-0.663142	-0.030635	-0.598755	0.223931	0.223931	0.00012189
8	10,10	0.783251	-0.842727	-1.685455	-0.048882	-0.048882	0.00723982
9	A,A	-0.510996	-0.002488	-0.420608	0.289770	0.289770	0.00036199
9	2,2	-0.523455	-0.221986	-1.046910	-0.395441	-0.368892	0.00036199
9	3,3	-0.542453	-0.309366	-1.065288	-0.424234	-0.400308	0.00036199
9	4,4	-0.542638	-0.204341	-0.701087	-0.514284	-0.488027	0.00036199
9	5,5	-0.540668	0.120345	0.174553	-0.667997	-0.649823	0.00036199
9	6,6	-0.548502	-0.386242	-0.817364	-0.584405	-0.556836	0.00036199
9	7,7	-0.555391	-0.474654	-0.978238	-0.569340	-0.548789	0.00036199
9	8,8	-0.516426	-0.487124	-0.974248	-0.427146	-0.401442	0.00036199
9	9,9	-0.196372	-0.594732	-1.189465	-0.108930	-0.099162	0.00018100
9	10,10	0.743970	-0.842055	-1.684111	-0.338563	-0.338563	0.00723982
10	A,A	-0.530674	-0.046842	-0.468319	0.194251	0.194251	0.00138886
10	2,2	-0.547137	-0.275101	-1.094274	-0.474492	-0.465966	0.00132976
10	3,3	-0.545672	-0.343585	-1.071267	-0.516190	-0.505094	0.00132976
10	4,4	-0.547191	-0.241025	-0.738996	-0.598618	-0.586290	0.00132976
10	5,5	-0.545139	0.038319	0.018006	-0.734630	-0.722816	0.00132976
10	6,6	-0.552167	-0.386149	-0.803852	-0.669574	-0.658131	0.00132976
10	7,7	-0.509739	-0.514818	-1.034724	-0.633557	-0.619017	0.00132976
10	8,8	-0.518291	-0.511755	-1.023510	-0.457453	-0.446436	0.00132976
10	9,9	-0.133285	-0.624465	-1.248929	-0.277030	-0.271554	0.00132976
10	10,10	0.583154	-0.836969	-1.673938	-0.405482	-0.405482	0.02327085
