Soft17Hit:false	Surrender:false	DoubleAfterSplit:false	
Win:1.000000	Tie:0.000000	Lose:-1.000000	BlackJack:1.500000	
A:4	2:4	3:4	4:4	5:4	6:4	7:4	8:4	9:4	T:16	
Player:8 9 	Dealer:T	Stand:-0.44043	Hit:-0.291565	Double:-0.583131	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.291565
Player:8 9 	Dealer:9	Stand:-0.411646	Hit:-0.209531	Double:-0.419063	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.209531
Player:8 9 	Dealer:8	Stand:-0.414899	Hit:-0.161234	Double:-0.322467	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.161234
Player:8 9 	Dealer:7	Stand:-0.1229	Hit:-0.12014	Double:-0.24028	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.12014
Player:8 9 	Dealer:6	Stand:-0.0114114	Hit:0.0599528	Double:0.119906	Split:undefined	WhattoDo:Double	ExpectedValue:0.119906
Player:8 9 	Dealer:5	Stand:-0.0443942	Hit:0.062821	Double:0.125642	Split:undefined	WhattoDo:Double	ExpectedValue:0.125642
Player:8 9 	Dealer:4	Stand:-0.0844137	Hit:-0.00336814	Double:-0.00673627	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.00336814
Player:8 9 	Dealer:3	Stand:-0.120664	Hit:-0.0204881	Double:-0.0409762	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.0204881
Player:8 9 	Dealer:2	Stand:-0.136521	Hit:-0.0316879	Double:-0.0633759	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.0316879
Player:8 9 	Dealer:A	Stand:-0.630855	Hit:-0.502027	Double:-1.00405	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.502027
Player:8 8 	Dealer:T	Stand:-0.557614	Hit:-0.270301	Double:-0.564471	Split:-0.540603	WhattoDo:Hit   	ExpectedValue:-0.270301
Player:8 8 	Dealer:9	Stand:-0.516426	Hit:-0.183368	Double:-0.40285	Split:-0.366736	WhattoDo:Hit   	ExpectedValue:-0.183368
Player:8 8 	Dealer:8	Stand:-0.551276	Hit:-0.142027	Double:-0.322529	Split:-0.284054	WhattoDo:Hit   	ExpectedValue:-0.142027
Player:8 8 	Dealer:7	Stand:-0.502514	Hit:-0.0813058	Double:-0.162612	Split:-0.162612	WhattoDo:Hit   	ExpectedValue:-0.0813058
Player:8 8 	Dealer:6	Stand:-0.178171	Hit:0.0937326	Double:0.161988	Split:0.187465	WhattoDo:Split 	ExpectedValue:0.187465
Player:8 8 	Dealer:5	Stand:-0.165443	Hit:0.0649553	Double:0.102079	Split:0.129911	WhattoDo:Split 	ExpectedValue:0.129911
Player:8 8 	Dealer:4	Stand:-0.215266	Hit:0.0205534	Double:0.0276729	Split:0.0411068	WhattoDo:Split 	ExpectedValue:0.0411068
Player:8 8 	Dealer:3	Stand:-0.228354	Hit:0.0263893	Double:0.0355626	Split:0.0527787	WhattoDo:Split 	ExpectedValue:0.0527787
Player:8 8 	Dealer:2	Stand:-0.274814	Hit:-0.00515255	Double:-0.0266303	Split:-0.0103051	WhattoDo:Hit   	ExpectedValue:-0.00515255
Player:8 8 	Dealer:A	Stand:-0.75993	Hit:-0.477848	Double:-0.970829	Split:-0.955696	WhattoDo:Hit   	ExpectedValue:-0.477848
Player:7 T 	Dealer:T	Stand:-0.460313	Hit:-0.289858	Double:-0.579715	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.289858
Player:7 T 	Dealer:9	Stand:-0.416111	Hit:-0.219442	Double:-0.438883	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.219442
Player:7 T 	Dealer:8	Stand:-0.39424	Hit:-0.158462	Double:-0.316925	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.158462
Player:7 T 	Dealer:7	Stand:-0.121287	Hit:-0.109711	Double:-0.219422	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.109711
Player:7 T 	Dealer:6	Stand:-0.0112867	Hit:0.0594792	Double:0.118958	Split:undefined	WhattoDo:Double	ExpectedValue:0.118958
Player:7 T 	Dealer:5	Stand:-0.0431476	Hit:0.063379	Double:0.126758	Split:undefined	WhattoDo:Double	ExpectedValue:0.126758
Player:7 T 	Dealer:4	Stand:-0.0643951	Hit:0.0169501	Double:0.0339001	Split:undefined	WhattoDo:Double	ExpectedValue:0.0339001
Player:7 T 	Dealer:3	Stand:-0.118943	Hit:-0.0208001	Double:-0.0416001	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.0208001
Player:7 T 	Dealer:2	Stand:-0.158128	Hit:-0.0546683	Double:-0.109337	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.0546683
Player:7 T 	Dealer:A	Stand:-0.630192	Hit:-0.501811	Double:-1.00362	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.501811
Player:7 9 	Dealer:T	Stand:-0.557378	Hit:-0.268563	Double:-0.564649	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.268563
Player:7 9 	Dealer:9	Stand:-0.539836	Hit:-0.194086	Double:-0.419544	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.194086
Player:7 9 	Dealer:8	Stand:-0.525806	Hit:-0.128088	Double:-0.29639	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.128088
Player:7 9 	Dealer:7	Stand:-0.507327	Hit:-0.0854689	Double:-0.170938	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.0854689
Player:7 9 	Dealer:6	Stand:-0.179634	Hit:0.0922639	Double:0.159259	Split:undefined	WhattoDo:Double	ExpectedValue:0.159259
Player:7 9 	Dealer:5	Stand:-0.163593	Hit:0.0669839	Double:0.105909	Split:undefined	WhattoDo:Double	ExpectedValue:0.105909
Player:7 9 	Dealer:4	Stand:-0.194143	Hit:0.042974	Double:0.0691584	Split:undefined	WhattoDo:Double	ExpectedValue:0.0691584
Player:7 9 	Dealer:3	Stand:-0.2497	Hit:0.00388602	Double:-0.00766438	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.00388602
Player:7 9 	Dealer:2	Stand:-0.276548	Hit:-0.00819062	Double:-0.0326015	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.00819062
Player:7 9 	Dealer:A	Stand:-0.759737	Hit:-0.478089	Double:-0.971367	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.478089
Player:7 8 	Dealer:T	Stand:-0.553687	Hit:-0.245209	Double:-0.56346	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.245209
Player:7 8 	Dealer:9	Stand:-0.535909	Hit:-0.164872	Double:-0.419112	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.164872
Player:7 8 	Dealer:8	Stand:-0.545308	Hit:-0.104766	Double:-0.313577	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.104766
Player:7 8 	Dealer:7	Stand:-0.501385	Hit:-0.046151	Double:-0.160315	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.046151
Player:7 8 	Dealer:6	Stand:-0.176976	Hit:0.104308	Double:0.132348	Split:undefined	WhattoDo:Double	ExpectedValue:0.132348
Player:7 8 	Dealer:5	Stand:-0.160467	Hit:0.100584	Double:0.127335	Split:undefined	WhattoDo:Double	ExpectedValue:0.127335
Player:7 8 	Dealer:4	Stand:-0.18959	Hit:0.0722876	Double:0.084757	Split:undefined	WhattoDo:Double	ExpectedValue:0.084757
